file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,125,css,43f9e8a1,Rita Zaarour,2025-10-08,22:39:38,-07:00,2025-10-08T22:39:38-07:00,2,20
style.css,126,css,17aa5154,Rita Zaarour,2025-10-09,10:07:40,-07:00,2025-10-09T10:07:40-07:00,0,0
style.css,127,css,17aa5154,Rita Zaarour,2025-10-09,10:07:40,-07:00,2025-10-09T10:07:40-07:00,0,0
style.css,128,css,ec5f0d35,Rita Zaarour,2025-10-09,22:35:52,-07:00,2025-10-09T22:35:52-07:00,0,10
style.css,129,css,ec5f0d35,Rita Zaarour,2025-10-09,22:35:52,-07:00,2025-10-09T22:35:52-07:00,1,17
style.css,130,css,ff31db4e,Rita Zaarour,2025-10-10,09:27:14,-07:00,2025-10-10T09:27:14-07:00,1,10
style.css,131,css,ff31db4e,Rita Zaarour,2025-10-10,09:27:14,-07:00,2025-10-10T09:27:14-07:00,1,15
style.css,132,css,ec5f0d35,Rita Zaarour,2025-10-09,22:35:52,-07:00,2025-10-09T22:35:52-07:00,0,0
style.css,133,css,ec5f0d35,Rita Zaarour,2025-10-09,22:35:52,-07:00,2025-10-09T22:35:52-07:00,0,0
style.css,134,css,ff31db4e,Rita Zaarour,2025-10-10,09:27:14,-07:00,2025-10-10T09:27:14-07:00,0,10
style.css,135,css,69bc34e0,Rita Zaarour,2025-10-09,14:43:51,-07:00,2025-10-09T14:43:51-07:00,1,24
style.css,136,css,a093c5b2,Rita Zaarour,2025-10-10,09:19:26,-07:00,2025-10-10T09:19:26-07:00,1,15
style.css,137,css,a093c5b2,Rita Zaarour,2025-10-10,09:19:26,-07:00,2025-10-10T09:19:26-07:00,0,0
style.css,138,css,a093c5b2,Rita Zaarour,2025-10-10,09:19:26,-07:00,2025-10-10T09:19:26-07:00,0,0
style.css,139,css,ff31db4e,Rita Zaarour,2025-10-10,09:27:14,-07:00,2025-10-10T09:27:14-07:00,0,10
style.css,140,css,ff31db4e,Rita Zaarour,2025-10-10,09:27:14,-07:00,2025-10-10T09:27:14-07:00,1,12
style.css,141,css,ff31db4e,Rita Zaarour,2025-10-10,09:27:14,-07:00,2025-10-10T09:27:14-07:00,1,15
style.css,142,css,ff31db4e,Rita Zaarour,2025-10-10,09:27:14,-07:00,2025-10-10T09:27:14-07:00,0,0
style.css,143,css,ff31db4e,Rita Zaarour,2025-10-10,09:27:14,-07:00,2025-10-10T09:27:14-07:00,0,0
style.css,144,css,a093c5b2,Rita Zaarour,2025-10-10,09:19:26,-07:00,2025-10-10T09:19:26-07:00,0,9
style.css,145,css,a093c5b2,Rita Zaarour,2025-10-10,09:19:26,-07:00,2025-10-10T09:19:26-07:00,1,12
style.css,146,css,ff31db4e,Rita Zaarour,2025-10-10,09:27:14,-07:00,2025-10-10T09:27:14-07:00,1,11
style.css,147,css,ff31db4e,Rita Zaarour,2025-10-10,09:27:14,-07:00,2025-10-10T09:27:14-07:00,1,24
style.css,148,css,69bc34e0,Rita Zaarour,2025-10-09,14:43:51,-07:00,2025-10-09T14:43:51-07:00,0,0
style.css,149,css,ec5f0d35,Rita Zaarour,2025-10-09,22:35:52,-07:00,2025-10-09T22:35:52-07:00,0,0
style.css,150,css,3024ccdc,Rita Zaarour,2025-10-10,09:30:47,-07:00,2025-10-10T09:30:47-07:00,0,9
style.css,151,css,3024ccdc,Rita Zaarour,2025-10-10,09:30:47,-07:00,2025-10-10T09:30:47-07:00,1,12
style.css,152,css,3024ccdc,Rita Zaarour,2025-10-10,09:30:47,-07:00,2025-10-10T09:30:47-07:00,1,15
style.css,153,css,3024ccdc,Rita Zaarour,2025-10-10,09:30:47,-07:00,2025-10-10T09:30:47-07:00,0,0
style.css,154,css,3024ccdc,Rita Zaarour,2025-10-10,09:30:47,-07:00,2025-10-10T09:30:47-07:00,0,0
style.css,155,css,c72fa546,Rita Zaarour,2025-10-10,09:40:12,-07:00,2025-10-10T09:40:12-07:00,0,10
style.css,156,css,c72fa546,Rita Zaarour,2025-10-10,09:40:12,-07:00,2025-10-10T09:40:12-07:00,1,12
style.css,157,css,c72fa546,Rita Zaarour,2025-10-10,09:40:12,-07:00,2025-10-10T09:40:12-07:00,0,0
style.css,158,css,c72fa546,Rita Zaarour,2025-10-10,09:40:12,-07:00,2025-10-10T09:40:12-07:00,0,0
style.css,159,css,ec5f0d35,Rita Zaarour,2025-10-09,22:35:52,-07:00,2025-10-09T22:35:52-07:00,0,10
style.css,160,css,ec5f0d35,Rita Zaarour,2025-10-09,22:35:52,-07:00,2025-10-09T22:35:52-07:00,1,17
style.css,161,css,ec5f0d35,Rita Zaarour,2025-10-09,22:35:52,-07:00,2025-10-09T22:35:52-07:00,0,0
style.css,162,css,17aa5154,Rita Zaarour,2025-10-09,10:07:40,-07:00,2025-10-09T10:07:40-07:00,0,12
style.css,163,css,17aa5154,Rita Zaarour,2025-10-09,10:07:40,-07:00,2025-10-09T10:07:40-07:00,1,17
style.css,164,css,ff31db4e,Rita Zaarour,2025-10-10,09:27:14,-07:00,2025-10-10T09:27:14-07:00,1,12
style.css,165,css,ff31db4e,Rita Zaarour,2025-10-10,09:27:14,-07:00,2025-10-10T09:27:14-07:00,1,15
style.css,166,css,3024ccdc,Rita Zaarour,2025-10-10,09:30:47,-07:00,2025-10-10T09:30:47-07:00,1,16
